,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
2016-05-27 18:10:00,247.80019,6.999346,24.941181,46.7398,25.892176,42.00452,26.883957,42.006992,24.775469,45.383335,23.223867,52.438454,23.784948,0.33311594,24.01393,43.191162,24.8003,50.48514,23.206696,45.934093,21.509556,754.7411,61.81863,4.041777,31.26483,13.667522,23.060314,23.077305
2016-05-27 18:20:00,154.92804,5.226431,24.898396,46.301556,26.06362,41.62484,26.71248,41.875717,24.896223,45.293976,23.21453,53.05566,24.28286,-0.8833348,23.889748,43.08409,24.67646,50.707195,23.19791,46.002,21.736187,755.08466,62.17306,3.8364384,33.881207,13.972603,23.275953,23.316404
2016-05-27 18:30:00,124.279175,4.586572,24.809954,45.974716,26.196222,41.156208,26.496277,41.76705,24.942991,45.19176,23.16724,53.38836,24.704863,-1.5304946,23.778366,43.081802,24.470715,50.84409,23.164951,46.111084,21.927385,755.5905,62.108788,3.5890574,35.09645,14.111171,23.298468,23.336283
2016-05-27 18:40:00,110.710815,4.1747446,24.71198,45.705765,26.300144,40.685684,26.293043,41.698936,24.945648,45.07931,23.089264,53.425186,24.98345,-1.8480439,23.672604,43.116795,24.248112,50.923405,23.102062,46.228844,22.01887,756.11847,61.862804,3.3357341,35.703743,14.116758,23.282034,23.31576
2016-05-27 18:50:00,102.460594,3.8284314,24.618319,45.47926,26.38419,40.25112,26.119438,41.65833,24.92335,44.970657,22.992832,53.261707,25.176096,-1.987532,23.574516,43.167698,24.028336,50.965088,23.023296,46.366493,22.051287,756.6315,61.564896,3.08994,36.084267,14.0588255,23.260405,23.290266
2016-05-27 19:00:00,97.07125,3.5307143,24.53439,45.301117,26.45573,39.875134,25.974752,41.645195,24.89285,44.885216,22.895802,53.092556,25.315432,-1.9559648,23.480503,43.21866,23.819803,51.002785,22.942204,46.524364,22.05251,757.11914,61.3132,2.8689716,36.382946,13.984548,23.237774,23.2643
2016-05-27 19:10:00,93.4845,3.2717316,24.460028,45.166267,26.519176,39.55619,25.855814,41.654964,24.858551,44.828564,22.803114,52.971222,25.427282,-1.8193476,23.389353,43.274933,23.624666,51.04673,22.8614,46.698463,22.041565,757.57153,61.102425,2.6787417,36.634502,13.910612,23.211807,23.235714
2016-05-27 19:20:00,91.045815,3.038615,24.389498,45.075485,26.572754,39.29467,25.753445,41.6879,24.819412,44.805595,22.713367,52.903767,25.523638,-1.5585779,23.299156,43.343647,23.44078,51.10542,22.779982,46.883663,22.02776,758.00305,60.931877,2.5207233,36.876255,13.845305,23.183495,23.205599
2016-05-27 19:30:00,89.22692,2.8090122,24.321108,45.021626,26.609974,39.09758,25.661839,41.73735,24.775427,44.81423,22.630793,52.869633,25.601181,-1.1685536,23.21222,43.42775,23.270956,51.175037,22.701563,47.071514,22.01192,758.4142,60.82077,2.391481,37.123447,13.794646,23.158554,23.178314
2016-05-27 19:40:00,87.69592,2.5716434,24.253086,44.989113,26.627161,38.959034,25.575813,41.790848,24.725908,44.8405,22.553959,52.84194,25.659,-0.6790206,23.127228,43.5114,23.115326,51.24127,22.62711,47.24617,21.992,758.8145,60.786644,2.2854953,37.350327,13.759712,23.142706,23.158882
2016-05-27 19:50:00,86.28732,2.3655076,24.186573,44.96807,26.628994,38.858395,25.49291,41.8448,24.672766,44.8739,22.480583,52.80414,25.686695,-0.09587948,23.045528,43.593918,22.973198,51.297684,22.55405,47.395226,21.95681,759.18066,60.814133,2.1994624,37.587666,13.725919,23.130175,23.142458
2016-05-27 20:00:00,84.9887,2.1858904,24.120531,44.95136,26.615406,38.786346,25.410978,41.89572,24.615541,44.90505,22.40836,52.742413,25.67972,0.5487661,22.966007,43.665234,22.843065,51.339657,22.481432,47.51986,21.900936,759.50464,60.88776,2.130471,37.809402,13.684654,23.121014,23.129574
2016-05-27 20:10:00,83.791595,2.0251672,24.055025,44.936874,26.587788,38.73842,25.33024,41.94223,24.554556,44.931267,22.33684,52.657635,25.641508,1.2281386,22.887863,43.720146,22.723932,51.366905,22.409443,47.62421,21.826065,759.7844,60.994884,2.0767794,38.015335,13.634804,23.114246,23.119408
2016-05-27 20:20:00,82.83433,1.8903906,23.992748,44.933353,26.55044,38.718655,25.255043,41.988697,24.492647,44.957737,22.268028,52.548367,25.579529,1.9330064,22.81211,43.757816,22.61847,51.380466,22.339935,47.712242,21.737873,760.0111,61.134026,2.0391665,38.20475,13.580333,23.111591,23.114275
2016-05-27 20:30:00,82.12147,1.7838396,23.934357,44.935192,26.504095,38.720707,25.185102,42.032063,24.43092,44.982098,22.202288,52.41843,25.493372,2.631891,22.73992,43.778427,22.526497,51.377415,22.273525,47.783302,21.635664,760.1963,61.29845,2.021357,38.36366,13.520671,23.111465,23.112356
2016-05-27 20:40:00,81.54362,1.707141,23.877775,44.938087,26.44878,38.738567,25.117762,42.071144,24.367706,45.00277,22.1381,52.279118,25.38533,3.3201883,22.669607,43.78457,22.44379,51.360962,22.208433,47.83924,21.51971,760.34863,61.481552,2.0197446,38.48993,13.454309,23.11159,23.111256
2016-05-27 20:50:00,81.03933,1.6509575,23.822014,44.94038,26.385738,38.768303,25.051785,42.105118,24.302511,45.01931,22.074337,52.1379,25.260069,4.0027146,22.600128,43.778442,22.368113,51.33467,22.143965,47.881752,21.392628,760.47284,61.682312,2.0302157,38.592228,13.382614,23.112137,23.110836
